"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2020-09-21","98.5","-1.99","5.84","Blake Cederlind",623520,664977,"null","ball",,,,,"11","null","R","R","R","PIT","CHC","B","null","null",0,0,2020,"-1.46","0.67","-0.54","3.64","null",571740,"null",2,8,"Top","null","null",,,"607732",,"null",7.41165435019035,-143.2447433660818,-2.0548942576751372,-21.775112551549707,34.36074686231965,-22.73267634645388,"3.20","1.55","null","null","null","99.4","2247","6.9",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.57","null","null","null","null","null","null","null",57,"1","Sinker",0,4,4,0,4,0,4,0,"Standard","Standard"
"SI","2020-09-21","97.3","-1.88","5.89","Blake Cederlind",656941,664977,"double","hit_into_play_score",,,,,"1","Kyle Schwarber doubles (6) on a sharp line drive to center fielder Bryan Reynolds.   Anthony Rizzo scores.    Willson Contreras scores.  ","R","L","R","PIT","CHC","X",8,"line_drive",1,0,2020,"-1.48","0.71","-0.54","2.89","null",519203,575929,2,8,"Top","157.41","39.15",,,"607732",,"null",7.082775560018732,-141.43058786545484,-4.116319959586939,-21.513024846288847,35.38570261481926,-21.83030051480569,"3.33","1.58","385","109.1","18","97.7","2215","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.68","0.693","0.851","1.25",1,1,1,6,56,"2","Sinker",0,2,2,0,2,0,2,0,"Strategic","Standard"
"FC","2020-09-21","90.0","-2.13","5.69","Blake Cederlind",656941,664977,"null","ball",,,,,"14","null","R","L","R","PIT","CHC","B","null","null",0,0,2020,"-0.02","0.61","0.11","1.33","null",519203,575929,2,8,"Top","null","null",,,"607732",,"null",5.6534080470924595,-130.97318918567092,-6.239128248223784,-1.3509986380852923,26.466252648524726,-24.013900909265416,"3.27","1.58","null","null","null","90.9","2338","6.7",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.75","null","null","null","null","null","null","null",56,"1","Cutter",0,2,2,0,2,0,2,0,"Strategic","Standard"
"SI","2020-09-21","97.1","-1.88","5.81","Blake Cederlind",575929,664977,"walk","ball",,,,,"11","Willson Contreras walks.  ","R","R","R","PIT","CHC","B","null","null",3,2,2020,"-1.51","0.58","-0.90","3.34","null",519203,"null",2,8,"Top","null","null",,,"607732",,"null",6.13615989716893,-141.2677607960375,-2.382653709778008,-21.572070118006557,34.351283451544745,-24.083317759625576,"3.03","1.51","null","null","null","97.8","2286","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.67","null","null","0.70",1,0,0,"null",55,"9","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-21","97.4","-1.99","5.77","Blake Cederlind",575929,664977,"null","foul",,,,,"11","null","R","R","R","PIT","CHC","S","null","null",3,2,2020,"-1.39","0.52","-1.19","2.97","null",519203,"null",2,8,"Top","null","null",,,"607732",,"null",5.392874666177027,-141.78042072770134,-3.1963830501975687,-19.921225655601546,33.623714047510106,-24.683995775154763,"3.18","1.51","4","61.2","-40","98.1","2225","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.74","null","null","null","null","null","null","null",55,"8","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-21","97.7","-2.06","5.72","Blake Cederlind",575929,664977,"null","foul",,,,,"6","null","R","R","R","PIT","CHC","S","null","null",3,2,2020,"-1.47","0.70","0.50","2.11","null",519203,"null",2,8,"Top","null","null",,,"607732",,"null",10.396762453767964,-141.87079308769785,-5.9127996829672025,-22.174106735384637,31.306578396644525,-21.465747725837225,"3.18","1.51","null","null","null","98.9","2072","7.0",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.53","null","null","null","null","null","null","null",55,"7","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-21","98.9","-1.85","5.80","Blake Cederlind",575929,664977,"null","foul",,,,,"5","null","R","R","R","PIT","CHC","S","null","null",3,2,2020,"-1.48","0.70","-0.26","2.63","null",519203,"null",2,8,"Top","null","null",,,"607732",,"null",7.889871666709142,-143.74925290624225,-4.839914333109125,-22.423844137249063,35.257117610312676,-21.57595449608833,"3.18","1.51","2","72.2","-54","99.7","2190","6.9",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.56","null","null","null","null","null","null","null",55,"6","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-21","98.6","-1.93","5.75","Blake Cederlind",575929,664977,"null","ball",,,,,"6","null","R","R","R","PIT","CHC","B","null","null",2,2,2020,"-1.44","0.41","0.81","2.15","null",519203,"null",2,8,"Top","null","null",,,"607732",,"null",10.895710375719625,-143.1033514666926,-5.2602790702038975,-22.44796146433298,36.25680905682021,-25.440086648367153,"3.23","1.49","null","null","null","98.9","2006","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.66","null","null","null","null","null","null","null",55,"5","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-21","99.7","-1.91","5.84","Blake Cederlind",575929,664977,"null","ball",,,,,"12","null","R","R","R","PIT","CHC","B","null","null",1,2,2020,"-1.49","0.84","1.14","3.16","null",519203,"null",2,8,"Top","null","null",,,"607732",,"null",12.025515280049564,-144.69274079406605,-3.948314766269511,-23.815829284899866,35.57641223729724,-19.62035892786976,"3.12","1.51","null","null","null","100.5","2146","7.0",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.51","null","null","null","null","null","null","null",55,"4","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-21","98.7","-1.89","5.80","Blake Cederlind",575929,664977,"null","swinging_strike",,,,,"6","null","R","R","R","PIT","CHC","S","null","null",1,1,2020,"-1.52","0.59","0.47","2.52","null",519203,"null",2,8,"Top","null","null",,,"607732",,"null",10.027037258725052,-143.34807060221007,-4.840529479023228,-23.307987564502977,35.778859047771284,-23.009914996188307,"3.18","1.51","null","null","null","99.1","2011","6.8",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.69","null","null","null","null","null","null","null",55,"3","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"FC","2020-09-21","89.9","-2.00","5.61","Blake Cederlind",575929,664977,"null","ball",,,,,"14","null","R","R","R","PIT","CHC","B","null","null",0,1,2020,"0.18","0.10","3.26","1.03","null","null",519203,2,8,"Top","null","null",,,"607732",,"null",12.771025952963571,-130.28167250589678,-5.571968962014593,-0.7369761943172496,28.629631271556086,-29.883422610572204,"3.04","1.51","null","null","null","90.4","2236","6.9",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.57","null","null","null","null","null","null","null",55,"2","Cutter",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-21","98.9","-1.89","5.79","Blake Cederlind",575929,664977,"null","called_strike",,,,,"8","null","R","R","R","PIT","CHC","S","null","null",0,0,2020,"-1.41","0.88","0.22","1.84","null","null",519203,2,8,"Top","null","null",,,"607732",,"null",9.103299976155116,-143.49343992330324,-7.371718254734051,-21.65767779986937,35.076654021075385,-18.46246867700765,"3.16","1.51","null","null","null","99.2","2198","6.7",631087,664977,"607732","592567","624428","663647","570481","591741","668804","570256","53.78","null","null","null","null","null","null","null",55,"1","Sinker",0,2,2,0,2,0,2,0,"Standard","Standard"
"SI","2020-09-19","99.2","-1.94","5.78","Blake Cederlind",666185,664977,"field_out","hit_into_play",,,,,"4","Dylan Carlson grounds out, second baseman Kevin Newman to first baseman Colin Moran.  ","R","L","R","PIT","STL","X",4,"ground_ball",0,1,2020,"-1.61","0.47","-0.36","2.37","null","null","null",2,8,"Top","153.77","137.11",,,"607732",,"null",8.134364017566794,-144.18935837382958,-5.000187749882467,-24.310588521884142,34.38536861085232,-24.58694561161791,"3.39","1.56","5","92.9","-31","99.7","2026","6.7",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.79","0.086","0.077","0.00",1,0,0,2,64,"2","Sinker",4,5,5,4,5,4,5,4,"Strategic","Standard"
"SI","2020-09-19","98.9","-1.93","5.87","Blake Cederlind",666185,664977,"null","called_strike",,,,,"6","null","R","L","R","PIT","STL","S","null","null",0,0,2020,"-1.51","0.17","0.70","2.31","null","null","null",2,8,"Top","null","null",,,"607732",,"null",10.768046364665247,-143.51242861773716,-4.650717621844587,-23.375813225790814,34.393133955179344,-28.844196413810046,"3.42","1.60","null","null","null","99.5","1946","6.8",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.65","null","null","null","null","null","null","null",64,"1","Sinker",4,5,5,4,5,4,5,4,"Strategic","Standard"
"FC","2020-09-19","89.9","-1.91","5.60","Blake Cederlind",641933,664977,"strikeout","swinging_strike",,,,,"9","Tyler O'Neill strikes out swinging.  ","R","R","R","PIT","STL","S",2,"null",0,2,2020,"0.31","0.47","0.80","1.47","null","null","null",1,8,"Top","null","null",,,"607732",,"null",6.1339874952189835,-130.91833397037692,-5.369731660086072,2.3931910562900423,24.933997039691793,-25.901916163900022,"3.27","1.56","null","null","null","91.3","2154","6.9",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.61","null","null","0.00",1,0,0,"null",63,"3","Cutter",4,5,5,4,5,4,5,4,"Infield shift","Standard"
"SI","2020-09-19","98.4","-1.89","5.80","Blake Cederlind",641933,664977,"null","called_strike",,,,,"2","null","R","R","R","PIT","STL","S","null","null",0,1,2020,"-1.40","0.32","0.09","2.97","null","null","null",1,8,"Top","null","null",,,"607732",,"null",8.709717982464333,-143.07939515995014,-3.003770180999321,-21.29853319996105,32.4432839672202,-27.24821549256655,"3.25","1.69","null","null","null","99.3","1938","6.8",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.72","null","null","null","null","null","null","null",63,"2","Sinker",4,5,5,4,5,4,5,4,"Infield shift","Standard"
"SI","2020-09-19","99.1","-1.83","5.85","Blake Cederlind",641933,664977,"null","swinging_strike",,,,,"7","null","R","R","R","PIT","STL","S","null","null",0,0,2020,"-1.39","0.78","-0.82","1.49","null","null","null",1,8,"Top","null","null",,,"607732",,"null",6.074636461749618,-143.9723366531101,-8.363858253763118,-20.813096073003372,33.52347153146779,-19.559177917167073,"3.27","1.56","null","null","null","100.1","2125","6.9",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.59","null","null","null","null","null","null","null",63,"1","Sinker",4,5,5,4,5,4,5,4,"Infield shift","Standard"
"SI","2020-09-19","99.3","-1.91","5.90","Blake Cederlind",446308,664977,"strikeout","swinging_strike",,,,,"11","Matt Wieters strikes out swinging.  ","R","L","R","PIT","STL","S",2,"null",2,2,2020,"-1.38","0.76","-0.15","3.60","null","null","null",0,8,"Top","null","null",,,"607732",,"null",8.155008875273907,-144.48116914979664,-2.7228648399571873,-21.20070528110244,31.319058559867642,-21.06036436796037,"3.45","1.69","null","null","null","100.6","2151","6.8",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.65","null","null","0.00",1,0,0,"null",62,"6","Sinker",4,5,5,4,5,4,5,4,"Strategic","Standard"
"SI","2020-09-19","98.0","-1.98","5.87","Blake Cederlind",446308,664977,"null","foul",,,,,"7","null","R","L","R","PIT","STL","S","null","null",2,2,2020,"-1.49","0.50","-0.79","1.75","null","null","null",0,8,"Top","null","null",,,"607732",,"null",6.690478931164577,-142.42895204263837,-6.824886721906042,-21.756804288424252,34.95891700193665,-23.885560944084773,"3.45","1.69","12","69.6","-7","98.4","2013","6.8",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.74","null","null","null","null","null","null","null",62,"5","Sinker",4,5,5,4,5,4,5,4,"Strategic","Standard"
"SI","2020-09-19","98.8","-1.96","5.85","Blake Cederlind",446308,664977,"null","called_strike",,,,,"9","null","R","L","R","PIT","STL","S","null","null",2,1,2020,"-1.47","0.76","0.45","2.22","null","null","null",0,8,"Top","null","null",,,"607732",,"null",10.058650711738544,-143.39564725143188,-6.206773134348207,-22.66437240722378,35.771106674903955,-20.365945783549712,"3.60","1.77","null","null","null","99.3","1992","6.9",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.61","null","null","null","null","null","null","null",62,"4","Sinker",4,5,5,4,5,4,5,4,"Infield shift","Standard"
"FC","2020-09-19","88.9","-2.20","5.66","Blake Cederlind",446308,664977,"null","ball",,,,,"11","null","R","L","R","PIT","STL","B","null","null",1,1,2020,"0.38","0.40","-1.04","4.42","null","null","null",0,8,"Top","null","null",,,"607732",,"null",2.069398831909178,-129.46695999235982,2.1928886074281473,3.836568834718543,27.13507912090478,-28.356842996097818,"3.61","1.86","null","null","null","89.6","2087","6.7",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.80","null","null","null","null","null","null","null",62,"3","Cutter",4,5,5,4,5,4,5,4,"Infield shift","Standard"
"SI","2020-09-19","97.7","-1.87","5.85","Blake Cederlind",446308,664977,"null","called_strike",,,,,"6","null","R","L","R","PIT","STL","S","null","null",1,0,2020,"-1.44","0.47","0.46","2.93","null","null","null",0,8,"Top","null","null",,,"607732",,"null",9.704625585315597,-141.8798538029679,-3.4180377770589736,-21.693558099743125,33.69205514432378,-25.278279253752093,"3.64","1.88","null","null","null","98.4","1979","6.9",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.60","null","null","null","null","null","null","null",62,"2","Sinker",4,5,5,4,5,4,5,4,"Infield shift","Standard"
"SI","2020-09-19","98.7","-1.92","5.94","Blake Cederlind",446308,664977,"null","ball",,,,,"12","null","R","L","R","PIT","STL","B","null","null",0,0,2020,"-1.41","0.67","1.28","3.38","null","null","null",0,8,"Top","null","null",,,"607732",,"null",12.098441557671757,-143.2387522406966,-3.0651237120054664,-22.25540805576136,33.12604499197034,-22.424692734202385,"3.63","1.77","null","null","null","99.3","1991","6.8",631147,664977,"607732","592567","621028","663647","570481","624428","668804","591741","53.70","null","null","null","null","null","null","null",62,"1","Sinker",4,5,5,4,5,4,5,4,"Infield shift","Standard"
"FC","2020-09-15","89.3","-2.12","5.73","Blake Cederlind",676480,664977,"field_out","hit_into_play",,,,,"4","Jose Garcia flies out to left fielder Bryan Reynolds.  ","R","R","R","CIN","PIT","X",7,"fly_ball",0,1,2020,"0.36","0.20","-0.35","2.63","null","null","null",2,6,"Bot","64.89","88.27",,,"607732",,"null",3.642458661287931,-130.1249232874808,-2.093594347454867,3.4111675013272085,26.31007787449526,-29.66713896944735,"3.43","1.65","300","93.6","45","90.2","2284","6.7",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.81","0.007","0.015","0.00",1,0,0,3,49,"2","Cutter",4,1,4,1,1,4,4,1,"Standard","Standard"
"FC","2020-09-15","89.8","-1.99","5.65","Blake Cederlind",676480,664977,"null","swinging_strike",,,,,"14","null","R","R","R","CIN","PIT","S","null","null",0,0,2020,"0.09","0.49","0.34","0.69","null","null","null",2,6,"Bot","null","null",,,"607732",,"null",5.608778105230191,-130.711679724858,-7.476408799289309,0.08043178649366975,23.78314228984148,-25.32949073260939,"3.43","1.65","null","null","null","91.0","2402","6.7",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.79","null","null","null","null","null","null","null",49,"1","Cutter",4,1,4,1,1,4,4,1,"Standard","Standard"
"FC","2020-09-15","89.6","-2.22","5.82","Blake Cederlind",520471,664977,"field_out","hit_into_play",,,,,"7","Freddy Galvis grounds out, second baseman JT Riddle to first baseman Colin Moran.  ","R","L","R","CIN","PIT","X",4,"ground_ball",2,2,2020,"0.15","0.40","-0.76","2.01","null","null","null",1,6,"Bot","135.41","150.69",,,"607732",,"null",3.3205233390414586,-130.56479095703506,-4.345635760970586,1.084442142481824,24.72142655010046,-26.962315042879506,"3.34","1.55","38","93.3","-1","90.9","2399","6.8",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.75","0.307","0.276","0.00",1,0,0,2,48,"5","Cutter",4,1,4,1,1,4,4,1,"Strategic","Standard"
"FC","2020-09-15","88.6","-2.12","5.69","Blake Cederlind",520471,664977,"null","ball",,,,,"14","null","R","L","R","CIN","PIT","B","null","null",1,2,2020,"0.28","-0.33","1.18","0.83","null","null","null",1,6,"Bot","null","null",,,"607732",,"null",7.563434894786633,-128.8552221287028,-5.182044180502306,1.5366813362286917,27.306492934071247,-34.91562145139381,"3.31","1.52","null","null","null","89.7","2440","7.0",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.47","null","null","null","null","null","null","null",48,"4","Cutter",4,1,4,1,1,4,4,1,"Strategic","Standard"
"FC","2020-09-15","89.5","-1.99","5.72","Blake Cederlind",520471,664977,"null","ball",,,,,"14","null","R","L","R","CIN","PIT","B","null","null",0,2,2020,"0.37","-0.05","1.20","1.02","null","null","null",1,6,"Bot","null","null",,,"607732",,"null",7.16626881195806,-130.14671048084884,-5.532686044450928,2.7056773571636956,26.947861990057067,-31.79669367144893,"3.30","1.51","null","null","null","90.4","2574","6.9",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.63","null","null","null","null","null","null","null",48,"3","Cutter",4,1,4,1,1,4,4,1,"Strategic","Standard"
"FC","2020-09-15","88.5","-2.12","5.73","Blake Cederlind",520471,664977,"null","called_strike",,,,,"1","null","R","L","R","CIN","PIT","S","null","null",0,1,2020,"0.52","0.22","-0.53","3.28","null","null","null",1,6,"Bot","null","null",,,"607732",,"null",2.817170839075903,-128.91100661770975,-0.41239899012400283,5.308322833251235,25.240886178578148,-29.81143220267656,"3.30","1.48","null","null","null","89.7","2353","6.8",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.66","null","null","null","null","null","null","null",48,"2","Cutter",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"SI","2020-09-15","98.7","-1.85","6.03","Blake Cederlind",520471,664977,"null","foul",,,,,"4","null","R","L","R","CIN","PIT","S","null","null",0,0,2020,"-1.46","0.74","-0.62","2.46","null","null","null",1,6,"Bot","null","null",,,"607732",,"null",6.8451726185046,-143.5761523692676,-6.076772896839927,-21.8356129337463,33.35779689404919,-20.688565727290086,"3.34","1.55","94","73.3","7","99.8","2163","6.9",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.60","null","null","null","null","null","null","null",48,"1","Sinker",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"SI","2020-09-15","97.6","-1.96","5.96","Blake Cederlind",571718,664977,"field_out","hit_into_play",,,,,"2","Brian Goodwin grounds out sharply, second baseman JT Riddle to first baseman Colin Moran.  ","R","L","R","CIN","PIT","X",4,"ground_ball",3,2,2020,"-1.39","0.57","0.21","2.79","null","null","null",0,6,"Bot","166.02","113.80",,,"607732",,"null",9.1059946810337,-141.96877924285477,-4.422672920527905,-20.753905806387085,28.55621178238591,-23.619194387012303,"3.35","1.55","150","103.6","9","98.8","1990","6.7",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.77","0.707","0.636","0.00",1,0,0,4,47,"7","Sinker",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"SI","2020-09-15","98.0","-2.14","5.87","Blake Cederlind",571718,664977,"null","foul",,,,,"11","null","R","L","R","CIN","PIT","S","null","null",3,2,2020,"-1.45","0.67","-0.94","2.85","null","null","null",0,6,"Bot","null","null",,,"607732",,"null",6.6590575090690995,-142.5906546817121,-4.277084683649159,-21.376239422824018,31.607992000034304,-22.252072419419395,"3.35","1.55","258","87.1","52","99.0","2218","6.8",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.75","null","null","null","null","null","null","null",47,"6","Sinker",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"SI","2020-09-15","97.2","-1.93","5.96","Blake Cederlind",571718,664977,"null","ball",,,,,"11","null","R","L","R","CIN","PIT","B","null","null",2,2,2020,"-1.68","0.29","-0.53","3.75","null","null","null",0,6,"Bot","null","null",,,"607732",,"null",7.691676742353218,-141.4416247096492,-1.0506999404257753,-24.295945739697313,30.966198759858393,-28.299456253870805,"3.25","1.57","null","null","null","98.2","2057","6.8",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.72","null","null","null","null","null","null","null",47,"5","Sinker",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"FC","2020-09-15","91.0","-2.19","5.82","Blake Cederlind",571718,664977,"null","ball",,,,,"14","null","R","L","R","CIN","PIT","B","null","null",1,2,2020,"0.18","0.41","0.33","1.09","null","null","null",0,6,"Bot","null","null",,,"607732",,"null",5.975137490100527,-132.29017263863983,-6.8775490530557155,0.8636122053354572,27.7624043566667,-26.045870828913152,"3.22","1.55","null","null","null","91.6","2426","6.7",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.84","null","null","null","null","null","null","null",47,"4","Cutter",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"FC","2020-09-15","91.6","-2.05","5.68","Blake Cederlind",571718,664977,"null","ball",,,,,"14","null","R","L","R","CIN","PIT","B","null","null",0,2,2020,"0.08","0.67","1.59","1.23","null","null","null",0,6,"Bot","null","null",,,"607732",,"null",9.101469930636362,-133.01728733142005,-6.868494236576997,-0.9929450212410706,27.74905170789504,-22.88472128559051,"3.23","1.49","null","null","null","92.5","2337","6.9",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.63","null","null","null","null","null","null","null",47,"3","Cutter",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"SI","2020-09-15","99.5","-1.92","6.01","Blake Cederlind",571718,664977,"null","called_strike",,,,,"1","null","R","L","R","CIN","PIT","S","null","null",0,1,2020,"-1.58","0.71","-0.64","3.27","null","null","null",0,6,"Bot","null","null",,,"607732",,"null",7.281413630557993,-144.66197961551862,-3.788108077438196,-23.89802317216938,34.101249390978936,-21.466422283141227,"3.31","1.54","null","null","null","99.9","2199","6.6",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.89","null","null","null","null","null","null","null",47,"2","Sinker",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"SI","2020-09-15","98.4","-2.09","5.95","Blake Cederlind",571718,664977,"null","swinging_strike",,,,,"1","null","R","L","R","CIN","PIT","S","null","null",0,0,2020,"-1.34","0.96","-0.38","3.04","null","null","null",0,6,"Bot","null","null",,,"607732",,"null",7.780153979348037,-143.005828955512,-4.678083351360222,-20.21592197799066,32.66208230950229,-18.143034471203322,"3.35","1.55","null","null","null","99.0","2042","6.7",631574,664977,"607732","592567","595375","663647","570481","668804","657061","570256","53.85","null","null","null","null","null","null","null",47,"1","Sinker",4,1,4,1,1,4,4,1,"Infield shift","Standard"
