"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2020-09-27","88.4","-2.35","5.83","Blake Cederlind",547379,664977,"null","swinging_strike",,,,,"14","null","R","R","R","CLE","PIT","S","null","null",1,1,2020,"0.28","0.06","1.53","2.07","null","null","null",0,8,"Bot","null","null",,,"572180",,"null",8.964524922159926,-128.57788145280276,-3.3162633399425965,1.4673118332125092,23.77089818088812,-31.01741377315631,"3.27","1.49","null","null","null","89.6","2248","6.8",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.66","null","null","null","null","null","null","null",72,"3","Cutter",8,6,8,6,6,8,8,6,"Standard","Strategic"
"FC","2020-09-27","88.6","-2.41","5.86","Blake Cederlind",547379,664977,"null","ball",,,,,"12","null","R","R","R","CLE","PIT","B","null","null",0,1,2020,"0.41","0.09","0.07","4.06","null","null","null",0,8,"Bot","null","null",,,"572180",,"null",5.242679130224116,-128.95838702485273,1.452517649264146,3.601947184750964,25.10571837396446,-31.652446355728035,"3.16","1.52","null","null","null","89.2","2137","6.5",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.98","null","null","null","null","null","null","null",72,"2","Cutter",8,6,8,6,6,8,8,6,"Standard","Strategic"
"SI","2020-09-27","96.6","-2.46","5.92","Blake Cederlind",547379,664977,"null","called_strike",,,,,"1","null","R","R","R","CLE","PIT","S","null","null",0,0,2020,"-1.34","0.37","-0.59","3.30","null","null","null",0,8,"Bot","null","null",,,"572180",,"null",8.081330016497246,-140.56280827871336,-2.2998934631120247,-19.626151251231914,30.348158208755248,-26.977913623889496,"3.27","1.57","null","null","null","97.5","2036","6.7",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.78","null","null","null","null","null","null","null",72,"1","Sinker",8,6,8,6,6,8,8,6,"Standard","Strategic"
"FC","2020-09-24","90.3","-2.34","5.61","Blake Cederlind",457727,664977,"field_out","hit_into_play",,,,,"5","Cameron Maybin pops out to second baseman Adam Frazier.  ","R","R","R","PIT","CHC","X",4,"popup",1,1,2020,"0.21","0.39","-0.20","2.35","null","null","null",2,9,"Top","100.23","118.99",,,"571974",,"null",4.9072259050740366,-131.49208522396862,-3.078699537726292,1.5719629539541555,24.922421465458665,-27.24668337042161,"3.60","1.68","204","91.8","59","91.4","2397","6.7",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.84","0.007","0.006","0.00",1,0,0,3,69,"3","Cutter",7,0,0,7,0,7,0,7,"Standard","Strategic"
"SI","2020-09-24","98.5","-2.27","5.69","Blake Cederlind",457727,664977,"null","called_strike",,,,,"5","null","R","R","R","PIT","CHC","S","null","null",1,0,2020,"-1.26","0.77","0.17","2.68","null","null","null",2,9,"Top","null","null",,,"571974",,"null",9.602209742418097,-143.20856473464806,-4.583457042284375,-19.507207713378083,31.22993376490141,-20.685281253460985,"3.41","1.66","null","null","null","99.4","2098","6.7",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.77","null","null","null","null","null","null","null",69,"2","Sinker",7,0,0,7,0,7,0,7,"Standard","Strategic"
"SI","2020-09-24","99.8","-2.06","5.78","Blake Cederlind",457727,664977,"null","ball",,,,,"11","null","R","R","R","PIT","CHC","B","null","null",0,0,2020,"-1.39","0.41","-2.05","4.75","null","null","null",2,9,"Top","null","null",,,"571974",,"null",3.333774718842731,-145.26969116488752,1.5841347394547256,-20.425170199420858,33.93751720835676,-26.888732842813408,"3.70","1.74","null","null","null","100.7","2042","6.7",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.75","null","null","null","null","null","null","null",69,"1","Sinker",7,0,0,7,0,7,0,7,"Infield shift","Strategic"
"FC","2020-09-24","90.6","-2.22","5.66","Blake Cederlind",656941,664977,"field_out","hit_into_play",,,,,"6","Kyle Schwarber grounds out to first baseman Josh Bell.  ","R","L","R","PIT","CHC","X",3,"ground_ball",1,1,2020,"0.37","0.42","0.49","2.30","null","null","null",1,9,"Top","153.47","174.05",,,"571974",,"null",6.0540471019438735,-131.97073129370395,-3.4927249174310306,3.3177125699731818,23.445714713964172,-26.745744401253926,"3.33","1.58","4","56.9","-50","92.2","2347","6.8",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.70","0.207","0.186","0.00",1,0,0,1,68,"3","Cutter",7,0,0,7,0,7,0,7,"Infield shift","Standard"
"SI","2020-09-24","100.3","-1.92","5.86","Blake Cederlind",656941,664977,"null","ball",,,,,"11","null","R","L","R","PIT","CHC","B","null","null",0,1,2020,"-1.39","0.56","-1.52","3.80","null","null","null",1,9,"Top","null","null",,,"571974",,"null",4.4620225258060175,-146.0991787596905,-1.700194467015939,-20.97101881577414,32.95453395395723,-23.954257496813106,"3.27","1.65","null","null","null","101.5","2135","6.8",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.70","null","null","null","null","null","null","null",68,"2","Sinker",7,0,0,7,0,7,0,7,"Infield shift","Standard"
"SI","2020-09-24","100.4","-1.94","5.75","Blake Cederlind",656941,664977,"null","called_strike",,,,,"8","null","R","L","R","PIT","CHC","S","null","null",0,0,2020,"-1.36","0.66","0.07","1.68","null","null","null",1,9,"Top","null","null",,,"571974",,"null",8.886488872798267,-145.89387914294352,-7.584739257292746,-21.524128243144354,32.050764420406914,-21.139845158949296,"3.32","1.56","null","null","null","101.6","2040","6.9",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.62","null","null","null","null","null","null","null",68,"1","Sinker",7,0,0,7,0,7,0,7,"Infield shift","Standard"
"FC","2020-09-24","90.0","-2.29","5.63","Blake Cederlind",571740,664977,"strikeout","swinging_strike",,,,,"4","Billy Hamilton strikes out swinging.  ","R","L","R","PIT","CHC","S",2,"null",0,2,2020,"0.18","0.58","-0.32","2.77","null","null","null",0,9,"Top","null","null",,,"571974",,"null",4.542786225095489,-131.19681418442477,-2.443843333536745,1.1947647058962014,24.697137762884356,-25.193437373299577,"3.37","1.53","null","null","null","91.1","2386","6.6",631099,664977,"571974","605137","624428","663647","595375","666931","668804","570256","53.91","null","null","0.00",1,0,0,"null",67,"3","Cutter",7,0,0,7,0,7,0,7,"Standard","Strategic"
